Sample_ID,Date_Open,Total_Mass_Flux_g_m2_day ,Terrigenous_Flux_g_m2_day ,PON_Flux_mmoles_m2_day,POC_Flux_mmoles_m2_day,CaCO3_Flux_mmoles_m2_day,OPAL_Flux_mmoles_m2_day,TPP_Flux_umolesP_m2_day,PIP_Flux_umolesP_m2_day,POP_Flux_umolesP_m2_day
SBB 5-2,1995-09-09,2.59,1.34,1.95,14.44,2.02,22.08,195.45,145.15,50.30
SBB 5-3,1995-09-23,2.94,1.82,1.75,13.73,2.69,15.62,194.17,149.30,44.87
SBB 5-4,1995-10-07,1.86,1.13,1.15,9.36,1.53,10.79,115.89,90.00,25.89
SBB 5-5,1995-10-21,1.39,0.91,0.79,6.30,1.11,6.61,72.60,56.02,16.58
SBB 5-6,1995-11-04,1.75,1.23,0.82,6.92,1.24,6.91,117.09,100.25,16.84
SBB 5-7,1995-11-18,0.71,0.46,0.42,3.37,0.59,3.25,38.08,29.12,8.96
SBB 5-8,1995-12-02,1.45,1.03,0.72,5.68,0.95,5.33,78.46,64.63,13.83
SBB 5-9,1995-12-16,4.39,3.59,1.16,10.17,2.40,9.02,227.51,195.12,32.38
SBB 5-10,1995-12-30,1.43,1.11,0.54,4.24,0.80,4.05,73.41,61.05,12.36
SBB 5-11,1996-01-13,0.47,0.33,0.24,1.81,0.30,1.92,,,
SBB 5-12,1996-01-27,1.38,0.91,0.65,4.87,1.04,8.10,68.48,54.19,14.29
SBB 5-13,1996-02-10,2.29,1.62,0.93,7.24,1.60,10.68,114.08,94.72,19.36
SBB 6-1,1996-03-26,2.00,1.26,0.76,6.67,1.61,13.39,128.96,106.94,22.03
SBB 6-2,1996-04-09,2.12,0.91,1.23,10.45,1.32,27.30,136.57,108.61,27.96
SBB 6-3,1996-04-23,2.90,1.26,2.01,16.47,1.78,34.26,182.06,142.22,39.84
SBB 6-4,1996-05-07,3.57,2.28,1.47,13.25,2.42,23.31,190.35,156.23,34.12
SBB 6-5,1996-05-21,1.53,0.99,0.66,6.08,1.23,8.08,104.80,88.74,16.07
SBB 6-6,1996-06-04,3.48,1.94,1.68,15.30,2.44,29.87,164.05,123.05,41.00
SBB 6-7,1996-06-18,0.94,0.59,0.45,4.04,0.81,5.18,52.28,41.92,10.36
SBB 6-8,1996-07-02,1.98,1.21,0.93,8.29,2.18,10.85,105.38,83.72,21.65
SBB 6-9,1996-07-16,1.78,1.10,0.72,6.79,1.51,11.31,83.74,65.56,18.18
SBB 6-10,1996-07-30,2.81,1.83,1.17,10.55,2.14,16.03,136.68,106.39,30.29
SBB 6-11,1996-08-13,2.15,1.20,1.19,10.53,1.72,16.36,104.84,76.43,28.42
SBB 6-12,1996-08-27,1.28,0.81,0.64,5.62,0.95,7.61,68.76,53.15,15.61
SBB 6-13,,,,,,,,,,
SBB 7-1 B,1996-09-24,1.96,1.36,0.83,7.46,1.22,9.35,155.79,137.98,17.81
SBB 7-2 B,1996-10-08,2.53,1.77,1.00,8.79,1.72,11.81,209.87,187.18,22.69
SBB 7-3 B,1996-10-22,2.83,2.13,0.90,7.89,1.72,10.47,215.15,194.47,20.68
SBB 7-4 B,1996-11-05,2.00,1.43,0.71,6.27,1.23,9.09,169.16,153.56,15.60
SBB 7-5 B,1996-11-19,1.89,1.17,0.82,6.89,1.63,12.34,163.62,146.55,17.06
SBB 7-6 B,1996-12-03,1.66,1.22,0.58,5.49,1.03,5.96,150.77,136.86,13.91
SBB 7-7 B,1996-12-17,1.91,1.34,0.72,6.47,1.16,9.15,151.40,134.85,16.55
SBB 7-8 B,1996-12-31,1.41,1.09,0.48,4.08,0.62,4.86,108.28,98.34,9.94
SBB 7-9 B,1997-01-14,1.29,0.95,0.45,3.90,0.78,5.08,94.00,84.21,9.79
SBB 7-10 B,1997-01-28,1.42,1.05,0.47,4.09,0.81,6.06,96.97,85.90,11.07
SBB 7-11 B,1997-02-11,0.94,0.59,0.40,3.36,0.62,6.64,76.70,68.60,8.10
SBB 7-12 B,1997-02-25,1.89,1.05,0.74,6.20,0.91,20.08,140.58,126.35,14.22
SBB 7-13 B,1997-03-11,3.85,2.28,1.51,12.46,1.73,36.43,190.04,162.00,28.04
SBB 8-1 B,1997-05-22,2.70,1.66,1.77,14.51,1.74,15.29,,,
SBB 8-2 B,1997-05-29,2.65,1.82,1.10,9.84,1.58,13.46,131.16,109.27,21.90
SBB 8-3 B,1997-06-05,3.44,1.97,1.87,15.16,2.36,27.60,,,
SBB 8-4 B,1997-06-12,2.99,1.66,1.22,9.81,2.17,29.08,133.16,101.06,32.10
SBB 8-5 B,1997-06-19,3.09,1.59,1.52,12.88,2.94,29.23,159.69,126.62,33.07
SBB 8-6 B,1997-06-26,2.49,1.58,1.05,9.14,2.50,13.62,131.54,107.03,24.50
SBB 8-7 B,1997-07-10,3.50,2.27,1.35,11.69,2.84,21.32,186.70,152.67,34.02
SBB 8-8 B,1997-07-24,2.84,1.93,1.24,11.34,2.41,11.68,156.55,132.07,24.48
SBB 8-9 B,1997-08-07,3.19,2.38,1.05,9.62,2.30,10.40,172.22,147.95,24.27
SBB 8-10 B,1997-08-21,2.14,1.54,0.76,6.80,1.57,8.49,129.00,111.20,17.80
SBB 8-11 B,1997-09-04,2.67,2.02,0.78,7.36,1.64,9.35,166.55,145.75,20.80
SBB 8-12 B,1997-09-18,2.36,1.77,0.81,7.42,1.60,7.49,161.43,141.59,19.84
SBB 8-13 B,1997-10-02,5.34,4.13,1.60,14.40,3.37,15.72,334.11,300.68,33.43
SBB 9-1 B,1997-10-17,2.23,1.78,0.64,5.69,1.51,4.58,155.74,138.53,17.21
SBB 9-2 B,1997-10-31,2.29,1.87,0.60,5.20,1.54,4.13,144.67,124.99,19.68
SBB 9-3 B,1997-11-14,1.90,1.46,0.61,5.38,1.60,3.97,117.24,101.01,16.23
SBB 9-4 B,1997-11-28,2.20,1.73,0.59,5.43,1.59,5.40,143.21,125.73,17.48
SBB 9-5 B,1997-12-12,4.77,4.12,0.89,8.02,2.13,7.21,370.80,335.19,35.60
SBB 9-6 B,1997-12-26,3.20,2.64,0.73,6.48,2.01,5.98,200.41,178.14,22.27
SBB 9-7 B,1998-01-09,1.81,1.47,0.48,4.29,1.23,3.35,115.61,104.27,11.34
SBB 9-8 B,1998-01-23,4.45,3.43,1.37,11.45,4.45,8.12,259.35,230.45,28.89
SBB 9-9 B,1998-02-06,9.09,7.73,1.88,15.23,5.44,12.59,546.50,493.24,53.26
SBB 9-10 B,1998-02-20,2.37,1.93,0.66,5.52,1.31,4.97,232.36,213.34,19.02
SBB 9-11 B,1998-03-06,6.05,4.98,1.30,11.14,3.17,14.72,435.17,397.79,37.38
SBB 9-12 B,1998-03-20,3.03,2.42,0.79,6.68,1.81,8.07,237.00,214.82,22.18
SBB 9-13 B,1998-04-03,3.80,3.04,0.87,7.46,1.83,12.69,251.44,221.52,29.92
SBB 10-1,,,,,,,,,,
SBB 10-2,,,,,,,,,,
SBB 10-3,,,,,,,,,,
SBB 10-4,,,,,,,,,,
SBB 10-5,,,,,,,,,,
SBB 10-6,,,,,,,,,,
SBB 10-7,,,,,,,,,,
SBB 10-8,,,,,,,,,,
SBB 10-9,,,,,,,,,,
SBB 10-10,,,,,,,,,,
SBB 10-11,,,,,,,,,,
SBB 10-12,,,,,,,,,,
SBB 10-13,,,,,,,,,,
SBB 11-1,,,,,,,,,,
SBB 11-2,,,,,,,,,,
SBB 11-3,,,,,,,,,,
SBB 11-4,,,,,,,,,,
SBB 11-5,,,,,,,,,,
SBB 11-6,,,,,,,,,,
SBB 11-7,,,,,,,,,,
SBB 11-8,,,,,,,,,,
SBB 11-9,,,,,,,,,,
SBB 11-10,,,,,,,,,,
SBB 11-11,,,,,,,,,,
SBB 11-12,,,,,,,,,,
SBB 11-13,,,,,,,,,,
SBB 12-1,1999-04-28,1.97,0.78,1.05,8.80,1.28,28.39,89.88,70.42,19.46
SBB 12-2,1999-05-05,1.97,1.01,1.29,9.93,2.18,15.77,140.58,114.46,26.12
SBB 12-3,1999-05-19,3.33,1.70,1.95,15.29,3.66,28.65,206.55,167.31,39.23
SBB 12-4,1999-06-02,2.91,1.94,1.37,11.18,2.08,15.35,170.94,146.34,24.60
SBB 12-5,1999-06-16,3.02,1.90,1.47,12.24,2.49,17.84,179.02,150.27,28.75
SBB 12-6,1999-06-30,3.88,2.73,1.41,12.89,2.81,17.17,221.28,190.10,31.18
SBB 12-7,1999-07-14,2.56,1.51,1.28,11.33,2.26,17.06,137.50,114.20,23.30
SBB 12-8,1999-07-28,1.48,0.88,0.65,5.60,1.76,8.92,,,
SBB 12-9,1999-08-11,2.24,1.16,0.99,8.36,2.27,21.38,113.96,96.59,17.37
SBB 12-10,1999-08-25,2.97,1.77,1.49,12.45,2.25,21.42,170.39,143.18,27.21
SBB 12-11,1999-09-08,1.67,1.14,0.59,5.67,1.36,8.17,,,
SBB 12-12,1999-09-22,0.67,0.45,0.30,2.42,0.54,3.15,,,
SBB 12-13,1999-10-06,1.03,0.68,0.45,3.90,0.83,5.15,,,
SBB 13-1,1999-10-20,2.90,1.87,1.29,12.17,2.79,13.79,159.83,134.11,25.72
SBB 13-2,1999-11-03,2.72,1.64,1.21,11.85,2.54,16.74,197.62,171.60,26.02
SBB 13-3,1999-11-17,2.50,1.41,1.35,12.23,2.35,17.22,164.43,140.89,23.54
SBB 13-4,1999-12-01,2.33,1.47,0.92,8.83,2.11,13.91,215.65,195.42,20.23
SBB 13-5,1999-12-15,2.88,1.88,0.95,8.35,2.99,16.13,191.80,167.65,24.14
SBB 13-6,1999-12-29,0.77,0.51,0.34,3.31,0.68,3.09,64.36,54.89,9.47
SBB 13-7,2000-01-12,0.55,0.39,0.20,1.92,0.48,1.94,,,
SBB 13-8,2000-01-26,0.53,0.39,0.18,1.81,0.41,1.65,,,
SBB 13-9,2000-02-09,0.36,0.22,0.17,1.61,0.36,2.15,,,
SBB 13-10,2000-02-23,0.18,0.11,0.09,0.86,0.21,0.92,,,
SBB 13-11,2000-03-08,0.47,0.25,0.22,2.08,0.50,3.78,,,
SBB 13-12,2000-03-22,0.28,0.17,0.13,1.22,0.26,1.62,19.82,16.50,3.32
SBB 13-13,2000-04-05,0.35,0.20,0.21,1.87,0.26,2.70,,,
SBB 14-1 B,2000-04-20,3.06,1.63,1.62,12.39,2.14,30.31,283.63,223.24,60.39
SBB 14-2 B,2000-05-04,2.87,1.59,1.67,12.70,1.72,25.88,227.84,193.44,34.40
SBB 14-3 B,2000-05-18,2.29,1.22,1.11,8.48,1.18,24.70,152.09,121.16,30.94
SBB 14-4,2000-06-01,,,,,,,,,
SBB 14-5,2000-06-15,,,,,,,,,
SBB 14-6,2000-06-29,,,,,,,,,
SBB 14-7,2000-07-13,,,,,,,,,
SBB 14-8,2000-07-27,,,,,,,,,
SBB 14-9,2000-08-10,,,,,,,,,
SBB 14-10,2000-08-24,,,,,,,,,
SBB 14-11,2000-09-07,,,,,,,,,
SBB 14-12,2000-09-21,,,,,,,,,
SBB 14-13,2000-10-05,,,,,,,,,
SBB 15-1,2000-10-18,1.97,1.19,0.87,7.94,1.33,14.55,140.73,122.72,18.01
SBB 15-2,2000-11-01,2.08,1.44,0.78,7.06,1.44,9.98,161.72,145.42,16.30
SBB 15-3,2000-11-15,2.03,1.37,0.77,6.72,1.56,10.91,143.93,126.59,17.34
SBB 15-4,2000-11-29,2.22,1.57,0.71,6.83,1.30,11.28,171.36,152.52,18.85
SBB 15-5,2000-12-13,2.00,1.24,0.88,7.88,1.49,13.05,149.19,133.48,15.70
SBB 15-6,2000-12-27,1.73,1.22,0.61,5.60,1.14,8.22,131.89,118.46,13.43
SBB 15-7,2001-01-10,1.79,1.27,0.55,4.87,1.76,6.90,123.43,110.08,13.34
SBB 15-8,2001-01-24,1.63,1.07,0.57,5.18,1.77,8.00,116.70,101.45,15.25
SBB 15-9,2001-02-07,2.32,1.48,0.94,7.81,1.71,15.35,169.97,147.01,22.96
SBB 15-10,2001-02-21,1.47,1.04,0.47,4.26,1.05,7.14,96.31,84.91,11.40
